Metric,Value
NSA ID,269
NSA Name,Fells Point
Total Population,"3,851"
Median HH Income ($),"$105,603"
Median Gross Rent ($/mo),"$2,043"
% Renter-Occupied,73.4%
Population Change (%),-5.3%
Pop Density (per km²),5981.0
% Age 18–34,50.3%
% Age 35–64,34.2%
% Age 65+,10.8%
% Bachelor's or Higher,71.4%
Avg Household Size,1.6
% Drive Alone,52.0%
% Public Transit,3.7%
% Walk,17.4%
% Work from Home,21.9%
Median Home Value ($),"$388,171"
Vacancy Rate (%),18.9%
% Owner-Occupied,26.6%
% Units Built Pre-1950,4.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"4,066"
Population Change (abs),-215
Prior Income (CPI-adj $),"$115,667"
"Income Change (%, inflation-adj)",-8.7%
Prior Median Rent ($/mo),"$1,990"
Rent Change (%),2.6%
