Metric,Value
NSA ID,42
NSA Name,Woodbourne Heights
Total Population,"1,567"
Median HH Income ($),"$64,305"
Median Gross Rent ($/mo),"$1,103"
% Renter-Occupied,61.4%
Population Change (%),-25.2%
Pop Density (per km²),4496.4
% Age 18–34,25.9%
% Age 35–64,53.6%
% Age 65+,8.1%
% Bachelor's or Higher,30.3%
Avg Household Size,1.7
% Drive Alone,60.4%
% Public Transit,10.4%
% Walk,2.4%
% Work from Home,16.0%
Median Home Value ($),"$166,672"
Vacancy Rate (%),3.6%
% Owner-Occupied,38.6%
% Units Built Pre-1950,47.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,093"
Population Change (abs),-526
Prior Income (CPI-adj $),"$49,917"
"Income Change (%, inflation-adj)",28.8%
Prior Median Rent ($/mo),$923
Rent Change (%),19.5%
