Metric,Value
NSA ID,156
NSA Name,Irvington
Total Population,"3,724"
Median HH Income ($),"$51,676"
Median Gross Rent ($/mo),"$1,054"
% Renter-Occupied,65.5%
Population Change (%),1.0%
Pop Density (per km²),1660.6
% Age 18–34,22.7%
% Age 35–64,38.7%
% Age 65+,19.0%
% Bachelor's or Higher,12.0%
Avg Household Size,2.4
% Drive Alone,43.6%
% Public Transit,40.9%
% Walk,3.3%
% Work from Home,6.9%
Median Home Value ($),"$145,241"
Vacancy Rate (%),15.5%
% Owner-Occupied,34.5%
% Units Built Pre-1950,39.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"3,687"
Population Change (abs),36
Prior Income (CPI-adj $),"$43,816"
"Income Change (%, inflation-adj)",17.9%
Prior Median Rent ($/mo),$694
Rent Change (%),51.9%
