Metric,Value
NSA ID,112
NSA Name,Dundalk Marine Terminal
Total Population,20
Median HH Income ($),"$179,070"
Median Gross Rent ($/mo),"$2,250"
% Renter-Occupied,86.0%
Population Change (%),64.8%
Pop Density (per km²),18.0
% Age 18–34,81.5%
% Age 35–64,12.3%
% Age 65+,0.0%
% Bachelor's or Higher,100.0%
Avg Household Size,2.1
% Drive Alone,50.5%
% Public Transit,0.0%
% Walk,0.0%
% Work from Home,49.5%
Median Home Value ($),"$625,000"
Vacancy Rate (%),54.5%
% Owner-Occupied,14.0%
% Units Built Pre-1950,0.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,12
Population Change (abs),7
Prior Income (CPI-adj $),"$128,025"
"Income Change (%, inflation-adj)",39.9%
Prior Median Rent ($/mo),N/A
Rent Change (%),N/A
