Metric,Value
NSA ID,226
NSA Name,Sandtown-Winchester
Total Population,"6,892"
Median HH Income ($),"$34,386"
Median Gross Rent ($/mo),$792
% Renter-Occupied,54.9%
Population Change (%),-2.6%
Pop Density (per km²),6546.2
% Age 18–34,22.0%
% Age 35–64,40.8%
% Age 65+,17.2%
% Bachelor's or Higher,7.3%
Avg Household Size,2.2
% Drive Alone,52.7%
% Public Transit,19.5%
% Walk,2.5%
% Work from Home,19.7%
Median Home Value ($),"$114,435"
Vacancy Rate (%),25.4%
% Owner-Occupied,45.1%
% Units Built Pre-1950,10.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"7,077"
Population Change (abs),-185
Prior Income (CPI-adj $),"$29,033"
"Income Change (%, inflation-adj)",18.4%
Prior Median Rent ($/mo),$603
Rent Change (%),31.4%
