Metric,Value
NSA ID,34
NSA Name,Saint Josephs
Total Population,"1,906"
Median HH Income ($),"$37,621"
Median Gross Rent ($/mo),$996
% Renter-Occupied,37.9%
Population Change (%),88.4%
Pop Density (per km²),5267.3
% Age 18–34,23.1%
% Age 35–64,36.0%
% Age 65+,21.0%
% Bachelor's or Higher,16.0%
Avg Household Size,2.2
% Drive Alone,48.9%
% Public Transit,35.9%
% Walk,0.0%
% Work from Home,3.7%
Median Home Value ($),"$104,253"
Vacancy Rate (%),12.1%
% Owner-Occupied,62.1%
% Units Built Pre-1950,43.9%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,011"
Population Change (abs),894
Prior Income (CPI-adj $),"$34,324"
"Income Change (%, inflation-adj)",9.6%
Prior Median Rent ($/mo),"$1,205"
Rent Change (%),-17.4%
