Metric,Value
NSA ID,178
NSA Name,Medfield
Total Population,"2,453"
Median HH Income ($),"$81,935"
Median Gross Rent ($/mo),"$1,291"
% Renter-Occupied,45.4%
Population Change (%),-0.2%
Pop Density (per km²),3640.3
% Age 18–34,28.6%
% Age 35–64,40.3%
% Age 65+,18.8%
% Bachelor's or Higher,47.8%
Avg Household Size,1.8
% Drive Alone,53.5%
% Public Transit,4.5%
% Walk,10.6%
% Work from Home,23.3%
Median Home Value ($),"$230,688"
Vacancy Rate (%),4.2%
% Owner-Occupied,54.6%
% Units Built Pre-1950,31.4%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,457"
Population Change (abs),-4
Prior Income (CPI-adj $),"$59,755"
"Income Change (%, inflation-adj)",37.1%
Prior Median Rent ($/mo),"$1,200"
Rent Change (%),7.6%
