Metric,Value
NSA ID,30
NSA Name,Rosemont Homeowners/Tenants
Total Population,"1,126"
Median HH Income ($),"$43,723"
Median Gross Rent ($/mo),"$1,168"
% Renter-Occupied,37.8%
Population Change (%),-15.6%
Pop Density (per km²),6899.2
% Age 18–34,26.1%
% Age 35–64,28.5%
% Age 65+,8.6%
% Bachelor's or Higher,10.4%
Avg Household Size,3.3
% Drive Alone,55.0%
% Public Transit,28.3%
% Walk,0.1%
% Work from Home,3.1%
Median Home Value ($),"$47,296"
Vacancy Rate (%),30.9%
% Owner-Occupied,62.2%
% Units Built Pre-1950,26.9%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,334"
Population Change (abs),-208
Prior Income (CPI-adj $),"$29,866"
"Income Change (%, inflation-adj)",46.4%
Prior Median Rent ($/mo),$932
Rent Change (%),25.4%
