Metric,Value
NSA ID,272
NSA Name,Baltimore Peninsula
Total Population,74
Median HH Income ($),"$131,250"
Median Gross Rent ($/mo),"$2,317"
% Renter-Occupied,100.0%
Population Change (%),-89.7%
Pop Density (per km²),66.6
% Age 18–34,64.9%
% Age 35–64,35.1%
% Age 65+,0.0%
% Bachelor's or Higher,100.0%
Avg Household Size,1.4
% Drive Alone,87.8%
% Public Transit,0.0%
% Walk,0.0%
% Work from Home,12.2%
Median Home Value ($),N/A
Vacancy Rate (%),0.0%
% Owner-Occupied,0.0%
% Units Built Pre-1950,0.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,716
Population Change (abs),-642
Prior Income (CPI-adj $),"$118,860"
"Income Change (%, inflation-adj)",10.4%
Prior Median Rent ($/mo),"$1,988"
Rent Change (%),16.6%
