Metric,Value
NSA ID,207
NSA Name,Patterson Park
Total Population,47
Median HH Income ($),"$172,017"
Median Gross Rent ($/mo),"$2,498"
% Renter-Occupied,23.7%
Population Change (%),9.4%
Pop Density (per km²),80.2
% Age 18–34,50.8%
% Age 35–64,32.5%
% Age 65+,3.0%
% Bachelor's or Higher,81.3%
Avg Household Size,2.1
% Drive Alone,69.2%
% Public Transit,1.7%
% Walk,1.9%
% Work from Home,23.7%
Median Home Value ($),"$363,616"
Vacancy Rate (%),10.6%
% Owner-Occupied,76.3%
% Units Built Pre-1950,6.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,42
Population Change (abs),4
Prior Income (CPI-adj $),"$143,536"
"Income Change (%, inflation-adj)",19.8%
Prior Median Rent ($/mo),"$2,138"
Rent Change (%),16.8%
