Metric,Value
NSA ID,218
NSA Name,Remington
Total Population,"2,082"
Median HH Income ($),"$71,760"
Median Gross Rent ($/mo),"$1,582"
% Renter-Occupied,48.3%
Population Change (%),-8.0%
Pop Density (per km²),3276.2
% Age 18–34,49.7%
% Age 35–64,33.8%
% Age 65+,8.2%
% Bachelor's or Higher,61.7%
Avg Household Size,1.9
% Drive Alone,49.6%
% Public Transit,11.1%
% Walk,9.5%
% Work from Home,21.5%
Median Home Value ($),"$267,067"
Vacancy Rate (%),8.0%
% Owner-Occupied,51.7%
% Units Built Pre-1950,6.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,263"
Population Change (abs),-181
Prior Income (CPI-adj $),"$74,414"
"Income Change (%, inflation-adj)",-3.6%
Prior Median Rent ($/mo),"$1,276"
Rent Change (%),24.0%
