Metric,Value
NSA ID,55
NSA Name,South Baltimore
Total Population,"3,191"
Median HH Income ($),"$124,296"
Median Gross Rent ($/mo),"$2,201"
% Renter-Occupied,53.7%
Population Change (%),-5.6%
Pop Density (per km²),8325.9
% Age 18–34,58.1%
% Age 35–64,27.7%
% Age 65+,4.6%
% Bachelor's or Higher,78.7%
Avg Household Size,2.0
% Drive Alone,60.5%
% Public Transit,1.5%
% Walk,5.3%
% Work from Home,25.3%
Median Home Value ($),"$358,663"
Vacancy Rate (%),11.9%
% Owner-Occupied,46.3%
% Units Built Pre-1950,3.7%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"3,380"
Population Change (abs),-189
Prior Income (CPI-adj $),"$124,552"
"Income Change (%, inflation-adj)",-0.2%
Prior Median Rent ($/mo),"$1,831"
Rent Change (%),20.2%
