Metric,Value
NSA ID,173
NSA Name,Loyola/Notre Dame
Total Population,"3,358"
Median HH Income ($),"$200,000"
Median Gross Rent ($/mo),"$1,177"
% Renter-Occupied,18.1%
Population Change (%),333.8%
Pop Density (per km²),4326.0
% Age 18–34,95.8%
% Age 35–64,0.8%
% Age 65+,0.8%
% Bachelor's or Higher,80.1%
Avg Household Size,2.4
% Drive Alone,27.3%
% Public Transit,4.6%
% Walk,25.3%
% Work from Home,29.8%
Median Home Value ($),"$584,627"
Vacancy Rate (%),1.1%
% Owner-Occupied,81.9%
% Units Built Pre-1950,8.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,774
Population Change (abs),"2,583"
Prior Income (CPI-adj $),"$216,701"
"Income Change (%, inflation-adj)",-7.7%
Prior Median Rent ($/mo),"$1,070"
Rent Change (%),10.0%
