Metric,Value
NSA ID,28
NSA Name,Rosemont
Total Population,"1,799"
Median HH Income ($),"$37,863"
Median Gross Rent ($/mo),"$1,447"
% Renter-Occupied,54.0%
Population Change (%),49.5%
Pop Density (per km²),3960.7
% Age 18–34,26.6%
% Age 35–64,33.7%
% Age 65+,23.6%
% Bachelor's or Higher,3.2%
Avg Household Size,2.2
% Drive Alone,37.1%
% Public Transit,37.3%
% Walk,1.0%
% Work from Home,4.8%
Median Home Value ($),"$81,805"
Vacancy Rate (%),34.4%
% Owner-Occupied,46.0%
% Units Built Pre-1950,32.7%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,203"
Population Change (abs),595
Prior Income (CPI-adj $),"$36,811"
"Income Change (%, inflation-adj)",2.9%
Prior Median Rent ($/mo),"$1,056"
Rent Change (%),37.1%
