Metric,Value
NSA ID,183
NSA Name,Midtown-Edmondson
Total Population,825
Median HH Income ($),"$32,961"
Median Gross Rent ($/mo),"$1,116"
% Renter-Occupied,63.1%
Population Change (%),-28.4%
Pop Density (per km²),2097.9
% Age 18–34,14.4%
% Age 35–64,51.2%
% Age 65+,18.5%
% Bachelor's or Higher,3.6%
Avg Household Size,1.8
% Drive Alone,43.4%
% Public Transit,25.6%
% Walk,3.4%
% Work from Home,8.2%
Median Home Value ($),"$67,740"
Vacancy Rate (%),51.9%
% Owner-Occupied,36.9%
% Units Built Pre-1950,9.9%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,152"
Population Change (abs),-327
Prior Income (CPI-adj $),"$37,122"
"Income Change (%, inflation-adj)",-11.2%
Prior Median Rent ($/mo),"$1,100"
Rent Change (%),1.4%
