Metric,Value
NSA ID,86
NSA Name,Cedarcroft
Total Population,660
Median HH Income ($),"$154,810"
Median Gross Rent ($/mo),"$1,127"
% Renter-Occupied,18.3%
Population Change (%),-16.6%
Pop Density (per km²),1902.0
% Age 18–34,10.7%
% Age 35–64,38.4%
% Age 65+,16.8%
% Bachelor's or Higher,64.6%
Avg Household Size,2.7
% Drive Alone,50.9%
% Public Transit,0.0%
% Walk,0.0%
% Work from Home,49.0%
Median Home Value ($),"$453,620"
Vacancy Rate (%),1.8%
% Owner-Occupied,81.7%
% Units Built Pre-1950,28.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,791
Population Change (abs),-131
Prior Income (CPI-adj $),"$127,895"
"Income Change (%, inflation-adj)",21.0%
Prior Median Rent ($/mo),$989
Rent Change (%),13.9%
