Metric,Value
NSA ID,150
NSA Name,Hollins Market
Total Population,"1,638"
Median HH Income ($),"$63,236"
Median Gross Rent ($/mo),"$1,342"
% Renter-Occupied,78.2%
Population Change (%),11.4%
Pop Density (per km²),5914.6
% Age 18–34,37.3%
% Age 35–64,36.4%
% Age 65+,4.5%
% Bachelor's or Higher,49.4%
Avg Household Size,1.9
% Drive Alone,44.7%
% Public Transit,15.6%
% Walk,16.1%
% Work from Home,21.1%
Median Home Value ($),"$208,468"
Vacancy Rate (%),20.9%
% Owner-Occupied,21.8%
% Units Built Pre-1950,21.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,470"
Population Change (abs),167
Prior Income (CPI-adj $),"$44,830"
"Income Change (%, inflation-adj)",41.1%
Prior Median Rent ($/mo),"$1,082"
Rent Change (%),24.1%
