Metric,Value
NSA ID,10
NSA Name,Bayview
Total Population,"2,301"
Median HH Income ($),"$58,316"
Median Gross Rent ($/mo),"$1,631"
% Renter-Occupied,62.7%
Population Change (%),-14.5%
Pop Density (per km²),9330.6
% Age 18–34,17.9%
% Age 35–64,42.9%
% Age 65+,14.7%
% Bachelor's or Higher,28.3%
Avg Household Size,2.3
% Drive Alone,73.4%
% Public Transit,14.0%
% Walk,4.3%
% Work from Home,2.9%
Median Home Value ($),"$164,099"
Vacancy Rate (%),14.8%
% Owner-Occupied,37.3%
% Units Built Pre-1950,42.7%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,692"
Population Change (abs),-391
Prior Income (CPI-adj $),"$65,698"
"Income Change (%, inflation-adj)",-11.2%
Prior Median Rent ($/mo),"$1,059"
Rent Change (%),54.0%
