Metric,Value
NSA ID,216
NSA Name,Radnor-Winston
Total Population,606
Median HH Income ($),"$120,000"
Median Gross Rent ($/mo),"$1,134"
% Renter-Occupied,26.4%
Population Change (%),-3.0%
Pop Density (per km²),3137.2
% Age 18–34,18.2%
% Age 35–64,32.8%
% Age 65+,19.1%
% Bachelor's or Higher,61.2%
Avg Household Size,3.0
% Drive Alone,50.8%
% Public Transit,4.9%
% Walk,0.0%
% Work from Home,16.9%
Median Home Value ($),"$263,235"
Vacancy Rate (%),0.0%
% Owner-Occupied,73.6%
% Units Built Pre-1950,27.9%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,624
Population Change (abs),-18
Prior Income (CPI-adj $),"$86,298"
"Income Change (%, inflation-adj)",39.1%
Prior Median Rent ($/mo),$917
Rent Change (%),23.6%
