Metric,Value
NSA ID,155
NSA Name,Idlewood
Total Population,"2,340"
Median HH Income ($),"$66,062"
Median Gross Rent ($/mo),"$1,488"
% Renter-Occupied,27.3%
Population Change (%),-4.1%
Pop Density (per km²),4355.0
% Age 18–34,28.0%
% Age 35–64,38.3%
% Age 65+,15.0%
% Bachelor's or Higher,40.2%
Avg Household Size,2.5
% Drive Alone,57.8%
% Public Transit,7.5%
% Walk,0.0%
% Work from Home,28.8%
Median Home Value ($),"$191,083"
Vacancy Rate (%),12.3%
% Owner-Occupied,72.7%
% Units Built Pre-1950,51.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,440"
Population Change (abs),-100
Prior Income (CPI-adj $),"$59,439"
"Income Change (%, inflation-adj)",11.1%
Prior Median Rent ($/mo),"$1,273"
Rent Change (%),16.9%
