Metric,Value
NSA ID,92
NSA Name,Cherry Hill
Total Population,"7,922"
Median HH Income ($),"$28,133"
% HH Income Below $50k,70.8%
% HH Income $50k–$100k,23.5%
% HH Income $100k+,5.7%
Median Gross Rent ($/mo),$960
% Renter-Occupied,88.3%
Population Change (%),-7.3%
Pop Density (per km²),2612.6
% Age 18–34,21.9%
% Age 35–64,28.5%
% Age 65+,11.8%
% Bachelor's or Higher,7.4%
Avg Household Size,2.5
% Drive Alone,53.0%
% Public Transit,18.4%
% Walk,1.9%
% Work from Home,3.5%
Median Home Value ($),"$73,777"
Vacancy Rate (%),10.6%
% Vacant — For Rent,3.3%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,7.3%
% Owner-Occupied,11.7%
% Units Built Pre-1950,34.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"8,550"
Population Change (abs),-628
Pop Change vs City Avg (pp),-760.3%
Prior Income (CPI-adj $),"$28,439"
"Income Change (%, inflation-adj)",-1.1%
Income Change vs City Avg (pp),-11.4%
Prior Median Rent ($/mo),$689
Rent Change (%),39.3%
Rent Change vs City Avg (pp),13.4%
Prior Median Home Value ($),88713.1840467451
Home Value Change (%),-16.8%
Home Value Change vs City Avg (pp),-54.9%
Prior Vacancy Rate (%),12.5%
Vacancy Rate Change (pp),-1.9%
Vacancy Change vs City Avg (pp),2.3%
Prior % Bachelor's+,11.5%
Education Change (pp),-4.1%
Education Change vs City Avg (pp),-7.0%
Market Signals,Renter demand rising; Affordability stress — rents outpacing incomes
