Metric,Value
NSA ID,36
NSA Name,Taylor Heights
Total Population,335
Median HH Income ($),"$92,939"
% HH Income Below $50k,33.3%
% HH Income $50k–$100k,21.4%
% HH Income $100k+,45.3%
Median Gross Rent ($/mo),"$1,750"
% Renter-Occupied,25.8%
Population Change (%),31.9%
Pop Density (per km²),674.5
% Age 18–34,21.4%
% Age 35–64,42.2%
% Age 65+,20.1%
% Bachelor's or Higher,27.3%
Avg Household Size,2.2
% Drive Alone,80.6%
% Public Transit,0.0%
% Walk,0.0%
% Work from Home,19.4%
Median Home Value ($),"$258,711"
Vacancy Rate (%),0.0%
% Vacant — For Rent,0.0%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,0.0%
% Owner-Occupied,74.2%
% Units Built Pre-1950,32.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,253
Population Change (abs),81
Pop Change vs City Avg (pp),-721.1%
Prior Income (CPI-adj $),"$73,009"
"Income Change (%, inflation-adj)",27.3%
Income Change vs City Avg (pp),17.0%
Prior Median Rent ($/mo),"$1,125"
Rent Change (%),55.6%
Rent Change vs City Avg (pp),29.7%
Prior Median Home Value ($),179476.48938820433
Home Value Change (%),44.1%
Home Value Change vs City Avg (pp),6.0%
Prior Vacancy Rate (%),4.5%
Vacancy Rate Change (pp),-4.5%
Vacancy Change vs City Avg (pp),-0.3%
Prior % Bachelor's+,28.8%
Education Change (pp),-1.5%
Education Change vs City Avg (pp),-4.4%
Market Signals,Renter demand rising; Household incomes rising faster than city; Affordability stress — rents outpacing incomes
