Metric,Value
NSA ID,263
NSA Name,Four By Four
Total Population,749
Median HH Income ($),"$45,102"
Median Gross Rent ($/mo),"$1,324"
% Renter-Occupied,68.7%
Population Change (%),-43.3%
Pop Density (per km²),3738.2
% Age 18–34,24.8%
% Age 35–64,35.4%
% Age 65+,14.2%
% Bachelor's or Higher,2.7%
Avg Household Size,2.4
% Drive Alone,66.2%
% Public Transit,12.2%
% Walk,0.0%
% Work from Home,0.0%
Median Home Value ($),"$125,499"
Vacancy Rate (%),36.9%
% Owner-Occupied,31.3%
% Units Built Pre-1950,11.7%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,320"
Population Change (abs),-571
Prior Income (CPI-adj $),"$39,220"
"Income Change (%, inflation-adj)",15.0%
Prior Median Rent ($/mo),"$1,264"
Rent Change (%),4.8%
