Metric,Value
NSA ID,170
NSA Name,Little Italy
Total Population,833
Median HH Income ($),"$114,608"
% HH Income Below $50k,22.6%
% HH Income $50k–$100k,17.7%
% HH Income $100k+,59.7%
Median Gross Rent ($/mo),"$1,994"
% Renter-Occupied,58.0%
Population Change (%),61.6%
Pop Density (per km²),6425.6
% Age 18–34,32.6%
% Age 35–64,45.4%
% Age 65+,12.9%
% Bachelor's or Higher,68.3%
Avg Household Size,1.8
% Drive Alone,51.2%
% Public Transit,2.5%
% Walk,12.7%
% Work from Home,24.1%
Median Home Value ($),"$408,675"
Vacancy Rate (%),11.9%
% Vacant — For Rent,1.1%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,10.8%
% Owner-Occupied,42.0%
% Units Built Pre-1950,2.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,515
Population Change (abs),317
Pop Change vs City Avg (pp),-691.4%
Prior Income (CPI-adj $),"$117,704"
"Income Change (%, inflation-adj)",-2.6%
Income Change vs City Avg (pp),-12.9%
Prior Median Rent ($/mo),"$2,165"
Rent Change (%),-7.9%
Rent Change vs City Avg (pp),-33.8%
Prior Median Home Value ($),364468.2243358541
Home Value Change (%),12.1%
Home Value Change vs City Avg (pp),-26.0%
Prior Vacancy Rate (%),20.6%
Vacancy Rate Change (pp),-8.7%
Vacancy Change vs City Avg (pp),-4.5%
Prior % Bachelor's+,68.7%
Education Change (pp),-0.4%
Education Change vs City Avg (pp),-3.3%
Market Signals,Young adult population growing
