Metric,Value
NSA ID,108
NSA Name,Downtown
Total Population,"6,808"
Median HH Income ($),"$67,626"
Median Gross Rent ($/mo),"$1,769"
% Renter-Occupied,95.5%
Population Change (%),42.1%
Pop Density (per km²),6454.9
% Age 18–34,58.8%
% Age 35–64,34.6%
% Age 65+,3.0%
% Bachelor's or Higher,71.7%
Avg Household Size,1.3
% Drive Alone,49.2%
% Public Transit,6.7%
% Walk,15.8%
% Work from Home,23.5%
Median Home Value ($),"$306,035"
Vacancy Rate (%),8.8%
% Owner-Occupied,4.5%
% Units Built Pre-1950,14.7%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"4,790"
Population Change (abs),"2,017"
Prior Income (CPI-adj $),"$72,884"
"Income Change (%, inflation-adj)",-7.2%
Prior Median Rent ($/mo),"$1,492"
Rent Change (%),18.6%
