Metric,Value
NSA ID,202
NSA Name,Original Northwood
Total Population,"2,304"
Median HH Income ($),"$88,238"
Median Gross Rent ($/mo),"$1,209"
% Renter-Occupied,26.8%
Population Change (%),18.8%
Pop Density (per km²),5160.3
% Age 18–34,48.1%
% Age 35–64,26.2%
% Age 65+,12.2%
% Bachelor's or Higher,58.3%
Avg Household Size,2.2
% Drive Alone,51.1%
% Public Transit,1.5%
% Walk,13.0%
% Work from Home,20.0%
Median Home Value ($),"$286,822"
Vacancy Rate (%),3.1%
% Owner-Occupied,73.2%
% Units Built Pre-1950,56.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,938"
Population Change (abs),365
Prior Income (CPI-adj $),"$111,804"
"Income Change (%, inflation-adj)",-21.1%
Prior Median Rent ($/mo),"$1,152"
Rent Change (%),5.0%
